municipality_key,municipality,area,population
07235142,Waldweiler,11.11,851
14522550,Taura,11.11,2316
03454022,Hilkenbrook,11.12,783
07134068,Reichenbach,11.12,525
08226065,Rauenberg; Stadt,11.12,8728
07132011,Mittelhof,11.13,976
08226097,Wiesenbach,11.13,3098
08316024,Malterdingen,11.13,3218
09772211,Ustersbach,11.13,1193
09774191,Waldstetten; M,11.13,1242
07334005,Freckenfeld,11.14,1558
08317097,Ohlsbach,11.14,3340
08426031,Dettingen an der Iller,11.14,2594
08426064,Kanzach,11.15,515
09674201,Stettfeld,11.15,1129
09374458,Speinsharter Forst,11.16,0
09574451,Behringersdorfer Forst,11.16,0
03257011,Haste,11.17,2721
